"title";"description";"skillType";"uri"
"breed stock";"Breed and raise livestock such as cattle, poultry, and honeybees. Use recognised breeding practices to strive for continuous improvement in the livestock.";"skill";"http://data.europa.eu/esco/skill/60ac9cee-9ece-4c2c-ad16-d94a51127976"
"distinguish fabrics";"Distinguish fabrics in order to determine differences among them. Evaluate fabrics based on their characteristics and their application in wearing apparel manufacturing.";"skill";"http://data.europa.eu/esco/skill/6d9f05ed-9ada-4604-9670-2df3bb439050"
"Earth science";"The science preoccupied with studying planet earth, this includes geology, meteorology, oceanography, and astronomy. It also includes the composition of the earth, earth structures, and processes.";"knowledge";"http://data.europa.eu/esco/skill/944e06e8-7b12-4064-9e72-d80cd6d0cbba"
"internal risk management policy";"The internal risk management policies that identify, assess and prioritise risks in an IT environment. The methods used to minimise, monitor and control the possibility and the impact of disastrous events that affect the reaching of business goals.";"knowledge";"http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67"
"flammable fluids";"The behaviour of liquids and gases that represent a serious explosion and fire danger, and their appropriate handling systems and effective storage.";"knowledge";"http://data.europa.eu/esco/skill/e2ba5755-d934-486e-b6cb-a938c2857b79"
"ensure the safety of endangered species and protected areas";"Ensure that projects do not adversely affect migratory birds, rare or endangered animal species, critical habitat or environmentally protected areas.";"skill";"http://data.europa.eu/esco/skill/e2bb641f-f647-4229-a48e-9a5ef3526c23"
"ensure full functioning of food plant machinery";"Ensure and maintain manufacturing process equipment and ensure such machinery operates in a clean, organised environment in compliance with food safety requirements.";"skill";"http://data.europa.eu/esco/skill/f9622dac-e823-479b-aabc-209232c1e391"
"civil law";" The legal rules and their applications used in disputes between different parties. 
";"knowledge";"http://data.europa.eu/esco/skill/c33dd5ae-ae72-49d7-8dcf-8bc72e59fe78"
"operate financial instruments";"Work with financial instruments such as stocks, bonds, mutual funds and derivatives.";"skill";"http://data.europa.eu/esco/skill/a05ead02-1728-4d60-929c-7e7c3a87672c"
"database development tools";"The methodologies and tools used for creating logical and physical structure of databases, such as logical data structures, diagrams, modelling methodologies and entity-relationships.";"knowledge";"http://data.europa.eu/esco/skill/9ef0f3a0-9ce2-4ef1-a987-0366b5cb2dbe"
"handle art";"Work directly with objects in museums and art galleries, in coordination with other museum professionals, to ensure that artworks are safely handled, packed, stored and cared for.";"skill";"http://data.europa.eu/esco/skill/e3e95567-666a-42bd-8565-ed3e4d3bb378"
"advertise an art collection";"Write catalogues, research documents, articles, reports, policies, standards and project grant proposals.";"skill";"http://data.europa.eu/esco/skill/b4cbf8ca-4f21-4151-8f54-8032fbac70bb"
"develop aquaculture breeding strategies";"Create and develop an aquaculture breeding strategy using a variety of techniques; naturally spawned fish eggs, induced spawning of fish eggs, environmental controlled spawning, hormonally regulated fish spawning, broodstock recruitment by genetic selection.";"skill";"http://data.europa.eu/esco/skill/72a22a1e-4db2-46ac-9757-bbb2285ec590"
"ICT recovery techniques";"The techniques for recovering hardware or software components and data, after failure, corruption or damage.";"knowledge";"http://data.europa.eu/esco/skill/c9e96450-421d-48af-9ee6-d9c50e29afc2"
"trade sector policies";"The public administration and regulatory aspects of the wholesale and retail trade sector, and requirements necessary to create policies.";"knowledge";"http://data.europa.eu/esco/skill/3120b759-2707-4d88-bfbd-71c95460d62c"
"plan procurement of meteorological equipment";"Plan and organise the ordering and purchase of appropriate meteorological equipment and tools required for weather forecasting.";"skill";"http://data.europa.eu/esco/skill/6c05d755-009d-4fd7-9265-f588f32a606d"
"design yarns";"Developing structural and colour effects in yarns and threads by using yarn and thread manufacturing techniques.";"skill";"http://data.europa.eu/esco/skill/8fa8e38a-4e07-4953-9ded-a7f97ad2a68c"
"teach ergonomics in work place";"Teach employees how to use their bodies properly in relation to machinery and equipment without harming themselves.";"skill";"http://data.europa.eu/esco/skill/c0a7e5ca-8be0-4fb2-89e2-4be65d53b119"
"internet governance";"The principles, regulations, norms and programs that shape the evolution and use of internet, such as internet domain names management, registries and registrars, according to ICANN/IANA regulations and recommendations, IP addresses and names, name servers, DNS, TLDs and aspects of IDNs and DNSSEC.";"knowledge";"http://data.europa.eu/esco/skill/5063a99f-975b-4a7c-85e3-69ecb375b4d3"
"supply machine";"Ensure the machine is fed the necessary and adequate materials and control the placement or automatic feed and retrieval of work pieces in the machines or machine tools on the production line.";"skill";"http://data.europa.eu/esco/skill/9ea652f6-accf-45bb-b9a8-590f06f7bd51"
"learn the choreographic material";"Rehearse to learn the choreographic material, convey the choreographers intent and the nuances and details of the choreography, and develop your role in the piece, factoring the precision of movements, the rhythm, the musicality, interaction with peers and stage elements, your physical condition and the conditions of the venue and potential risks associated (fatigue, state of the floor, temperature, etc...).";"skill";"http://data.europa.eu/esco/skill/fd1df16e-c988-4e31-93c6-943e868e0186"
"feed glass fibre into pultrusion machine";"Make sure the glass fibre material is taken in by the pultrusion machine without jams or defects.";"skill";"http://data.europa.eu/esco/skill/21946b7e-7d3e-4ac8-b0c5-4734764f65a8"
"health and safety measures in transportation";"The body of rules, procedures and regulations related to health and safety measures intended to prevent accidents or incidents in transportation.";"knowledge";"http://data.europa.eu/esco/skill/74ad37e3-325b-4ccd-ab2a-04f7696750e8"
"plan animal breeding programmes";"Plan a responsible animal breeding programme with a clearly defined purpose. Assess the needs of the animal and how they may be addressed or affected throughout the breeding programme. Communicate the breeding programme to those who will be involved in its implementation.";"skill";"http://data.europa.eu/esco/skill/d3991af1-c3ca-4f8d-b2b3-2d8adee67bce"
"manage mineral processing plant";"Manage plant and equipment designed to extract products from raw minerals. Monitor the flow of materials through the processing plant.";"skill";"http://data.europa.eu/esco/skill/c20927b5-15d4-4cd3-8776-a56040ca702b"
"footwear equipments";"Functionality of the wide range of equipments and the basic rules of regular maintenance.";"knowledge";"http://data.europa.eu/esco/skill/61cea229-2057-4687-ac14-62d8ea1419ad"
"design warp knit fabrics";"Developing structural and colour effects in warp knitted fabrics by using the warp knitting technique.";"skill";"http://data.europa.eu/esco/skill/b989ab4a-d0e8-472b-84e3-909d5e8e6255"
"install concrete pumps";"Position the truck or trailer at the desired location, adjust support legs for stability, attach the hoses to the outlet of the machine, if necessary, or install the robotic arm, and set up the pumps. In the case of electric pumps, connect them to the network. Take different factors into account such as the presence of a slope and the soil bearing capacity.";"skill";"http://data.europa.eu/esco/skill/f0c987fc-4d50-4f74-ac5f-4b970c6bd2e9"
"manual draughting techniques";"Techniques used for creating detailed drawings of designs by using specialised pencils, rulers, templates and scales.";"knowledge";"http://data.europa.eu/esco/skill/ae0f2a15-ba82-4a88-817c-431c58c70167"
"organism taxonomy";"Science of classifying organisms.";"knowledge";"http://data.europa.eu/esco/skill/14c9635f-1afe-41a1-997e-7b406751e033"
"identity aquaculture species";"Identity major European farmed fish, shellfish and crustacean species.";"skill";"http://data.europa.eu/esco/skill/4e3d93fe-0d7f-45fd-aae0-a60425ba4b2b"
"manage tests";"Develop, administer and evaluate a specific set of tests relevant to your activities or to the people who have to complete the tests.";"skill";"http://data.europa.eu/esco/skill/8df59017-f8e3-4a48-b321-79a38c597748"
"operate material handling equipment";"Perform general physical activities in warehouse such as loading, unloading and sorting goods; operate handling equipment.";"skill";"http://data.europa.eu/esco/skill/7838de1e-d65e-4a3f-b60b-e2213026116f"
"determine skin type";"Determine what type of skin a person has in order to use the right make-up for that particular skin type.";"skill";"http://data.europa.eu/esco/skill/c4671551-a0f8-49fd-92fd-c190863a0154"
"projection equipment";"The different types of projection equipment, their properties, and usages.";"knowledge";"http://data.europa.eu/esco/skill/cc608319-716f-4940-b80d-79e76d8a2cad"
"natural areas maintenance";"The methods to maintain the assets (both natural and constructed) of natural areas, including program development and implementation.";"knowledge";"http://data.europa.eu/esco/skill/6825a7dd-c2da-40fa-b745-508ff20ee293"
"adhere to traffic regulations on inland waterways";"Understand and apply traffic rules in inland waterway navigation in order to ensure safety and avoid collisions.";"skill";"http://data.europa.eu/esco/skill/c78456d8-9633-4639-ad36-5755628f596d"
"rehabilitation";"The methods and procedures used to help an ill or injured person restore lost skills and regain self-sufficiency and control.";"knowledge";"http://data.europa.eu/esco/skill/87669743-a291-4ea0-9a50-cac60d45649c"
"landscape analysis";"The methods of analysis and computation used in the design of outdoor spaces.";"knowledge";"http://data.europa.eu/esco/skill/fdeabe51-1d92-4770-acfe-eff9769b3d4f"
"metaphysics";"The philosophical study that is concerned with uncovering and explaining the first principles of things and the fundamental ideas by which people classify the world such as being, time and objects.";"knowledge";"http://data.europa.eu/esco/skill/9630a367-09bb-46ca-93b9-76d48dd3d395"
"operate digester machine";"Add cooking chemicals and steam to dissolve lignin and separate the plant fibres, breaking down wood chips to recover pulp after a bleaching and drying process.";"skill";"http://data.europa.eu/esco/skill/8e54b014-4f36-4859-8584-0020919dc6a8"
"fire-fighting systems";"The devices and systems used to extinguish fires; the classes and chemistry of fire.";"knowledge";"http://data.europa.eu/esco/skill/ccde26f3-e822-4b6a-94a1-39af4ae41fed"
"collect samples";"Set up and operate equipment to collect water, gas or soil samples for testing.";"skill";"http://data.europa.eu/esco/skill/17fa2e6a-ca80-4d60-afb0-03f170e9d5f3"
"prepare digital art for master photograph";"Assemble, typeset, scan and produce digital art ready to be photographed as a master copy.";"skill";"http://data.europa.eu/esco/skill/9bfae677-2b7f-49bf-b7eb-2ade795df734"
"packaging functions";"Functions and role of packaging in modern society. Structure of the packaging supply chain and the relation between packaging and marketing.";"knowledge";"http://data.europa.eu/esco/skill/8c3ac8d1-5349-45bb-9006-e073ee3b5d16"
"teach design and applied arts principles";"Instruct students in the theory and practice of applied arts and (visual) design principles, with the aim of assisting them in pursuing a future career in this field, more specifically in courses such as graphic design, landscape design, interior design, animation, and photography.";"skill";"http://data.europa.eu/esco/skill/7fa93d7f-8ff9-4878-9ad0-1968d75476aa"
"detect rail track malfunctions";"Identify and analyse damage or malfunctions in the mechanical, pneumatic, or hydraulic equipment of rail track; determine necessary maintenance and repair work.";"skill";"http://data.europa.eu/esco/skill/d34ed027-4050-4612-b70e-e4242cdbdcc1"
"process animal by-products";"Carry out initial processing of animal by-products for example skin, in preparation for further processing";"skill";"http://data.europa.eu/esco/skill/428b92d4-d13a-4f77-800f-b1874fb3b20c"
"trim bovine hooves";"Carry out the trimming of bovine hooves to maintain hoof health, welfare of the animal and productivity taking into account safe working practices for self and animal.";"skill";"http://data.europa.eu/esco/skill/67bb7cb3-1baf-475f-9290-0f5781d09415"
"maintain hatchery equipment";"Make minor repairs to hatchery equipment as required.";"skill";"http://data.europa.eu/esco/skill/34be82f1-8442-46e4-a911-40b91fa8bf24"
"woodworking tools";"The various tools used to process wood, such as planers, chisels and lathes.";"knowledge";"http://data.europa.eu/esco/skill/4c06a716-6363-4308-b548-88f7a3e70097"
"candle making techniques";"The characteristics and specifications of candle making techniques which comprise wax melting and candles containers.";"knowledge";"http://data.europa.eu/esco/skill/727aeb22-40ef-45af-822d-3c72263a2bd9"
"sightseeing information";"The sightseeing information of a particular touristic site.";"knowledge";"http://data.europa.eu/esco/skill/177983da-20a1-451c-98e6-21e6b4ed97ae"
"sell furniture";"Sell pieces of furniture in accordance to the client's personal preferences and needs.";"skill";"http://data.europa.eu/esco/skill/d48b4816-8e60-4d65-8542-29eb327551d1"
"test package";"Test and measure characteristics of packaging materials.";"skill";"http://data.europa.eu/esco/skill/96aee526-5817-412d-88c9-29cc95e27c85"
"first response";"The procedures of pre-hospital care for medical emergencies, such as first aid, resuscitation techniques, legal and ethical issues, patient assessment, trauma emergencies.";"knowledge";"http://data.europa.eu/esco/skill/eaa4cdc0-43e0-4388-9b8a-e2779218d10e"
"landscape architectural instruments";"The instruments, tools, symbols and terminology of landscape architectural drawing and specifications; the laws and codes pertaining to landscape architecture and design.";"knowledge";"http://data.europa.eu/esco/skill/2db7ca4d-89ed-460b-9cb6-404acdb80209"
"communicate in specialised nursing care";"Formulate and communicate complex clinical issues to patients, relatives and other health professionals.";"skill";"http://data.europa.eu/esco/skill/268f3f0d-252e-4f61-9d96-1a87f4389ca9"
"use photographic equipment";"Use analogue or digital camera equipment, along with a variety of accessories such as tripods, filters and lenses.";"skill";"http://data.europa.eu/esco/skill/c7b1e520-8921-46dd-b444-e0637323bb7f"
"develop animations";"Design and develop visual animations using creativity and computer skills. Make objects or characters appear lifelike by manipulating light, colour, texture, shadow, and transparency, or manipulating static images to give the illusion of motion.";"skill";"http://data.europa.eu/esco/skill/eee58e6d-4587-42f0-b9a0-fe055cfe2044"
"principles of animation";"The principles of 2D and 3D animation, such as body motion, kinematics, overshoot, anticipation, squash and stretch.";"knowledge";"http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb"
"apply glaze coating";"Dip the products into a specific glaze coating that will make them waterproof and fix the decorative patterns and colours after the firing process.";"skill";"http://data.europa.eu/esco/skill/a34eda1e-bdef-4b1d-894e-3f62b025e457"
"design optical systems";"Design and develop optical and imaging systems, products, and components, such as lasers, microscopes, optical fibre, cameras, and magnetic resonance imaging (MRI) machines.";"skill";"http://data.europa.eu/esco/skill/b73bda36-9c32-4045-ad4b-168b81d44662"
"tend coating machine";"Tend manufacturing machines designed to coat workpiece surfaces by applying various coating machine processes, such as powder coating, monitor and operate it according to regulations.";"skill";"http://data.europa.eu/esco/skill/296fb7a3-40fa-46ed-982b-9f1473fbbad4"
"customs regulations for passengers";"Understand passenger customs regulations; know which official documents or declaration forms are required from different kinds of passenger.";"knowledge";"http://data.europa.eu/esco/skill/8c2d6746-1966-442b-9a7d-8ee1accdadfc"
"company policies";"The set of rules that govern the activity of a company.";"knowledge";"http://data.europa.eu/esco/skill/f75b740c-b36c-495e-bc67-efe347bbc6b5"
"ensure equipment maintenance";"Ensure that the equipment required for operations is regularly checked for faults, that routine maintenance tasks are performed, and that repairs are scheduled and performed in the case of damage or flaws.";"skill";"http://data.europa.eu/esco/skill/c927ec6e-9082-4b22-afd3-0c4e219eaf73"
"perform fish grading operations";"Gather live fish using techniques which minimise the stress caused to fish and avoid fish escapes occurring. Grade them manually or using equipment. Report on the grading operation, ensuring compliance with specifications.";"skill";"http://data.europa.eu/esco/skill/550f0643-9756-4b27-a18a-aa04bb823e3f"
"optoelectronics";"Branch of electronics and optics dedicated to the study and use of electronic devices that detect and control light.";"knowledge";"http://data.europa.eu/esco/skill/e66cd71d-371c-4f82-8bce-b220b8c2d6ea"
"cooperate in linguistic process steps";"Engage and cooperate in codification processes in order to standardise and develop norms for languages.";"skill";"http://data.europa.eu/esco/skill/d0b85dca-a0b7-48be-a873-d011c49e32c7"
"tip latex within industrial processes";"Tip the liquid latex from drums to cans and to the machine holding tanks.";"skill";"http://data.europa.eu/esco/skill/a2a1f99c-8668-4e26-80ba-26e3ad9c0df1"
"modern power signalling systems";"Understand traditional and modern signalling systems; operate railway signalling systems.";"knowledge";"http://data.europa.eu/esco/skill/0aabcae7-71de-456e-8e38-d9e40a4e0272"
"pesticides sprayers";"Types of equipment used to spray pesticides, manipulated both manually, such as hand-operated rotary and drop spreaders, and mechanically.";"knowledge";"http://data.europa.eu/esco/skill/56f2e4f6-0014-4355-aac7-b86cad486043"
"railway law";"The laws and regulations governing the activities and functioning of the railway system. 
 ";"knowledge";"http://data.europa.eu/esco/skill/1a080b07-406e-4a2e-b316-fc766f2e6e2d"
"binding technologies";"The methods to fix paper materials together and enclose them in a cover such as case binding, sewing, adhesive binding, comb binding, and spiral binding.";"knowledge";"http://data.europa.eu/esco/skill/4cbe4ca4-c7be-452f-aab2-f8520a828497"
"ingredients for beer production";"Basic ingredients of beer, which consist of water, a starch source such as malted barley, brewer's yeast to produce the fermentation and a flavouring such as hops.";"knowledge";"http://data.europa.eu/esco/skill/fc9ebe74-22e8-49c9-8402-59afdabd3321"
"monitor excavated material";"Monitor the excavated material to determine the type and structure of the material and decide on any actions to be taken.";"skill";"http://data.europa.eu/esco/skill/3f5b2c0b-64ec-40e4-8661-55e12c0716a5"
"use specialised tools in electric repairs";"Use of a variety of specialised tools, instruments and machines, such as presses, drills and grinders; employ them to carry out repairs in a safety manner.";"skill";"http://data.europa.eu/esco/skill/5c221b93-667d-408b-a37b-bfeb2c94dd61"
"assess students";"Evaluate the students' (academic) progress, achievements, course knowledge and skills through assignments, tests, and examinations. Diagnose their needs and track their progress, strengths, and weaknesses. Formulate a summative statement of the goals the student achieved.";"skill";"http://data.europa.eu/esco/skill/6fe019dd-027f-45f3-b19c-d27f7ae00980"
"coating substances";"Have knowledge of various types of coating, providing a workpiece with one or more finishing layers of resins, sugars, powders, inactive and insoluable fillers, waxes, gums, plasticisers, colouring materials, lacquer, and others.";"knowledge";"http://data.europa.eu/esco/skill/a311f8ae-8244-45ef-9c3a-40e767940942"
"sales promotion techniques";"The techniques used to persuade customers to purchase a product or a service.";"knowledge";"http://data.europa.eu/esco/skill/756ae350-9e1f-4cb9-9c27-6bd99806dadc"
"work on excavation site";"Excavate material evidence of past human activity using hand picks, shovels, brushes, etc.";"skill";"http://data.europa.eu/esco/skill/d8986e9a-44f2-4988-822e-1be3bd961a8f"
"collaborate in the development of marketing strategies";"Work together with a group of professionals to develop marketing strategies performing market analysis and financial viability while staying aligned with the company's goals.";"skill";"http://data.europa.eu/esco/skill/b679ef35-eebf-4da8-8e45-fee6841c3214"
"mount optical components on frames";"Mount optical components, such as lenses, and precision mechanical components, such as frames, into assemblies and adjust. Lenses are mechanically set into place using threaded retaining rings and the use of adhesive cement on the outer cylindrical edge to hold individual lenses in place.";"skill";"http://data.europa.eu/esco/skill/1b2ba534-a8de-42ff-83fc-55d7e6103d3a"
"comply with optical prescriptions";"Interpret and coordinate frames and eye measurements in accordance with the customer's optical prescriptions.";"skill";"http://data.europa.eu/esco/skill/87d1cb89-8de1-4e15-8255-492323203237"
"European pesticide legislation";"The EU framework for community action which promotes the sustainable use of pesticides.";"knowledge";"http://data.europa.eu/esco/skill/60c4cdfa-1aa3-452d-a989-10fd61706911"
"test optical components";"Test optical systems, products, and components with appropriate optical testing methods, such as axial ray testing and oblique ray testing.";"skill";"http://data.europa.eu/esco/skill/2e5c3901-cac5-46a0-ad5d-b98a34680513"
"adjust jewellery";"Reshape jewellery mountings.";"skill";"http://data.europa.eu/esco/skill/35138055-63cd-410a-91a7-29e9857bebbd"
"management department processes";"The different processes, duties, jargon, role in an organisation, and other specificities of the management and strategy department within an organisation such as strategic processes and general management of the organisation.";"knowledge";"http://data.europa.eu/esco/skill/848b5879-10af-4e3a-bfbf-263956b4ebf3"
"apply massage oil";"Administer oil on the client, either through sprays, salt baths, massage oils or inhalation techniques.";"skill";"http://data.europa.eu/esco/skill/5afd3d7b-7599-4e2a-8ce8-c4057b3a8ad2"
"perform upholstery restoration of classic cars";"Preserve and repair/restore the upholstery of vintage or classic cars; add a new look to the vehicles’ original aspect.";"skill";"http://data.europa.eu/esco/skill/0568517d-3d5f-470f-ac29-0b6509dd85b8"
"teach arts principles";"Instruct students in the theory and practice of arts and crafts and the fine arts, whether recreationally, as part of their general education, or with the aim of assisting them in pursuing a future career in this field. Offer instruction in courses such as drawing, painting, sculpting and ceramics.";"skill";"http://data.europa.eu/esco/skill/0fbba913-65b1-47ea-a429-d4d84f44072c"
"draw up marketing and sales plan";"Write a a viable plan where the position of a business is described within a specific market and the marketing strategy for the following years is layed down. It should include knowledge of local, national and international markets, trade regulations and export requirements and sale or export duties and taxes. ";"skill";"http://data.europa.eu/esco/skill/68ad2716-36f4-4445-a437-ebfce0e23430"
"analyse apple juice for cider production";"Analyse apple juice before fermentation and the cider during and afterwards. Observe how the fermented juice characteristics change from year to year in the same apple varieties. Be aware of the wide range of sugar, acid and tannin levels between apple varieties.";"skill";"http://data.europa.eu/esco/skill/55d46c76-385c-4a86-bc8c-328b6e2f8824"
"maintain inventory of airport operations";"Keep an up-to-date inventory of all aspects of airport operations.";"skill";"http://data.europa.eu/esco/skill/ae6d78dd-56f2-43fa-ae44-88253a7abf9f"
"monitor mixing in a live situation";"Monitor mixing in a live audio situation, under own responsibility.";"skill";"http://data.europa.eu/esco/skill/3443f825-fe5b-4f7a-80c9-968130ed0297"
"advertise auction sales";"Promote auction sales on radio and TV, in trade magazines, online and via catalogue distribution and other channels.";"skill";"http://data.europa.eu/esco/skill/cacc293c-13a0-468c-96c1-31a6d4c1c0ba"
"perform upholstery repair";"Repair/restore damaged upholstery for a wide range of vehicles; use materials such as fabric, leather, plastic or vinyl.";"skill";"http://data.europa.eu/esco/skill/ca99a4f9-4ead-4d17-a430-dda2cd6fb5ed"
"provide customized upholstery";"install custom upholstery, according to the customer's individual requests and preferences.";"skill";"http://data.europa.eu/esco/skill/1da6ee69-335b-48a7-b806-ee487807c0e4"
"record multi-track sound";"Recording and mixing audio signals from different sound sources on a multi-track recorder.";"skill";"http://data.europa.eu/esco/skill/9a8f5432-fb04-498d-9ba4-a4e1444ff056"
"operate sound live";"Operate sound system and audio devices during rehearsals or in a live situation.";"skill";"http://data.europa.eu/esco/skill/e8bae3fe-6d8d-457e-a20b-6f8eea4d5402"
"printed circuit boards";"Printed circuit boards (PCB) are essential components to almost all electronic devices. They consist of thin wafers or substrates on which electronic components, such as microchips, are placed. The electronic components are electrically connected through conductive tracks and pads.";"knowledge";"http://data.europa.eu/esco/skill/6a2bc03b-e30d-429b-9549-5784cb92ae2f"
"characteristics of chemicals used for tanning";"Composition and physico-chemical properties of auxiliary chemicals used in the different tanning processes (tanning agents, fat liquors, pigments, dyes, etc.)";"knowledge";"http://data.europa.eu/esco/skill/d78de382-4c52-47ad-8e08-2ed6b2361d90"
"make bids in forward auctions";"Create and provide forward bids, taking into account possible special requirements such as refrigeration of goods or transport of potentially hazardous materials.";"skill";"http://data.europa.eu/esco/skill/59e2df68-7442-4306-92b9-116c48146cc3"
"perform auction chant";"Perform bid calling and develop an individual style with filler words and variable speed of speech";"skill";"http://data.europa.eu/esco/skill/5b3df9ff-3277-4f23-8bd5-374d74f608c5"
"create auction catalogue";"Compose auction catalogues with current items up for auction; include recent pictures and terms and conditions of the sale.";"skill";"http://data.europa.eu/esco/skill/f9759731-c199-4d02-8a12-b1bc9c31c8c3"
"handle refrigerant transfer pumps";"Handle the different transfer pumps used to keep a refrigerant in the liquid phase at the right pressure for an optimal accuracy and speed of the charging station.";"skill";"http://data.europa.eu/esco/skill/0654d206-36a6-4d37-bb98-eb8bd33af3c5"
"select apples";"Select ripe and unripe apples considering the quantity of starch in them to turn into sugar.";"skill";"http://data.europa.eu/esco/skill/3cf75c0d-527e-4fba-bac1-ed514f618749"
"implement improvement procedures in airport operations";"Carry out improvement procedures in airport operations based on an understanding of the needs of an airport. Plan and develop improvement procedures using adequate resources.";"skill";"http://data.europa.eu/esco/skill/1614113b-c344-4435-a47d-6e467f653e26"
"gather reference materials";"Gathering reference materials such as drawings, illustrations and sketches, in the process of creating a painting or sculpture.";"skill";"http://data.europa.eu/esco/skill/c6f01d70-2376-4c6a-a586-638b30d72a62"
"conclude the psychotherapeutic relationship";"Conclude the process of the psychotherapeutic relationship, making sure that the patient's needs are met.";"skill";"http://data.europa.eu/esco/skill/5d460d64-9d93-4593-aab9-d57ade1c5860"
